No of Runs, Data Set,MajVote Accuracy,Std dev., Cluster based accuracy, Std. dev, ES Accuracy, ES Std Dev., Each Class, Without balance acc, Without balance std 
2.000000, students, 0.439583,0.000000, 0.381250, 0.000000, 0.439583, 0.000000, 1.000000, 0.439583, 0.000000
1.000000, students, 0.337500,0.000000, 0.322917, 0.000000, 0.439583, 0.000000, 4.000000, 0.439583, 0.000000
3.000000, students, 0.439583,0.000000, 0.352083, 0.000000, 0.439583, 0.000000, 1.000000, 0.439583, 0.000000
2.000000, students, 0.406250,0.000000, 0.318750, 0.000000, 0.439583, 0.000000, 2.000000, 0.439583, 0.000000
4.000000, students, 0.439583,0.000000, 0.354167, 0.000000, 0.439583, 0.000000, 1.000000, 0.439583, 0.000000
1.000000, students, 0.300000,0.000000, 0.300000, 0.000000, 0.410417, 0.000000, 6.000000, 0.439583, 0.000000
5.000000, students, 0.439583,0.000000, 0.352083, 0.000000, 0.439583, 0.000000, 1.000000, 0.439583, 0.000000
3.000000, students, 0.439583,0.000000, 0.300000, 0.000000, 0.439583, 0.000000, 2.000000, 0.439583, 0.000000
2.000000, students, 0.406250,0.000000, 0.366667, 0.000000, 0.439583, 0.000000, 4.000000, 0.439583, 0.000000
4.000000, students, 0.439583,0.000000, 0.331250, 0.000000, 0.439583, 0.000000, 2.000000, 0.439583, 0.000000
5.000000, students, 0.439583,0.000000, 0.404167, 0.000000, 0.439583, 0.000000, 2.000000, 0.439583, 0.000000
2.000000, students, 0.341667,0.000000, 0.387500, 0.000000, 0.408333, 0.000000, 6.000000, 0.439583, 0.000000
3.000000, students, 0.268750,0.000000, 0.356250, 0.000000, 0.354167, 0.000000, 4.000000, 0.439583, 0.000000
1.000000, students, 0.272917,0.000000, 0.354167, 0.000000, 0.381250, 0.000000, 7.000000, 0.439583, 0.000000
4.000000, students, 0.366667,0.000000, 0.358333, 0.000000, 0.408333, 0.000000, 4.000000, 0.439583, 0.000000
3.000000, students, 0.333333,0.000000, 0.356250, 0.000000, 0.381250, 0.000000, 6.000000, 0.439583, 0.000000
1.000000, students, 0.264583,0.000000, 0.429167, 0.000000, 0.439583, 0.000000, 8.000000, 0.439583, 0.000000
2.000000, students, 0.264583,0.000000, 0.289583, 0.000000, 0.439583, 0.000000, 7.000000, 0.439583, 0.000000
5.000000, students, 0.297917,0.000000, 0.318750, 0.000000, 0.439583, 0.000000, 4.000000, 0.439583, 0.000000
4.000000, students, 0.264583,0.000000, 0.347917, 0.000000, 0.410417, 0.000000, 6.000000, 0.439583, 0.000000
1.000000, students, 0.379167,0.000000, 0.291667, 0.000000, 0.412500, 0.000000, 3.000000, 0.439583, 0.000000
3.000000, students, 0.264583,0.000000, 0.314583, 0.000000, 0.410417, 0.000000, 7.000000, 0.439583, 0.000000
2.000000, students, 0.264583,0.000000, 0.343750, 0.000000, 0.412500, 0.000000, 8.000000, 0.439583, 0.000000
2.000000, students, 0.404167,0.000000, 0.331250, 0.000000, 0.439583, 0.000000, 3.000000, 0.439583, 0.000000
5.000000, students, 0.264583,0.000000, 0.358333, 0.000000, 0.439583, 0.000000, 6.000000, 0.439583, 0.000000
3.000000, students, 0.370833,0.000000, 0.362500, 0.000000, 0.439583, 0.000000, 3.000000, 0.439583, 0.000000
4.000000, students, 0.264583,0.000000, 0.325000, 0.000000, 0.383333, 0.000000, 3.000000, 0.439583, 0.000000
4.000000, students, 0.297917,0.000000, 0.320833, 0.000000, 0.439583, 0.000000, 7.000000, 0.439583, 0.000000
1.000000, students, 0.264583,0.000000, 0.329167, 0.000000, 0.439583, 0.000000, 5.000000, 0.439583, 0.000000
3.000000, students, 0.264583,0.000000, 0.391667, 0.000000, 0.439583, 0.000000, 8.000000, 0.439583, 0.000000
5.000000, students, 0.406250,0.000000, 0.362500, 0.000000, 0.439583, 0.000000, 3.000000, 0.439583, 0.000000
2.000000, students, 0.302083,0.000000, 0.343750, 0.000000, 0.410417, 0.000000, 5.000000, 0.439583, 0.000000
5.000000, students, 0.268750,0.000000, 0.275000, 0.000000, 0.412500, 0.000000, 7.000000, 0.439583, 0.000000
4.000000, students, 0.264583,0.000000, 0.266667, 0.000000, 0.439583, 0.000000, 8.000000, 0.439583, 0.000000
3.000000, students, 0.264583,0.000000, 0.318750, 0.000000, 0.352083, 0.000000, 5.000000, 0.439583, 0.000000
1.000000, students, 0.268750,0.000000, 0.354167, 0.000000, 0.379167, 0.000000, 9.000000, 0.439583, 0.000000
4.000000, students, 0.264583,0.000000, 0.379167, 0.000000, 0.439583, 0.000000, 5.000000, 0.439583, 0.000000
5.000000, students, 0.264583,0.000000, 0.333333, 0.000000, 0.439583, 0.000000, 8.000000, 0.439583, 0.000000
2.000000, students, 0.264583,0.000000, 0.308333, 0.000000, 0.379167, 0.000000, 9.000000, 0.439583, 0.000000
5.000000, students, 0.264583,0.000000, 0.370833, 0.000000, 0.439583, 0.000000, 5.000000, 0.439583, 0.000000
3.000000, students, 0.264583,0.000000, 0.352083, 0.000000, 0.410417, 0.000000, 9.000000, 0.439583, 0.000000
1.000000, students, 0.264583,0.000000, 0.293750, 0.000000, 0.439583, 0.000000, 10.000000, 0.439583, 0.000000
4.000000, students, 0.264583,0.000000, 0.291667, 0.000000, 0.408333, 0.000000, 9.000000, 0.439583, 0.000000
2.000000, students, 0.264583,0.000000, 0.291667, 0.000000, 0.410417, 0.000000, 10.000000, 0.439583, 0.000000
5.000000, students, 0.268750,0.000000, 0.310417, 0.000000, 0.383333, 0.000000, 9.000000, 0.439583, 0.000000
3.000000, students, 0.264583,0.000000, 0.277083, 0.000000, 0.379167, 0.000000, 10.000000, 0.439583, 0.000000
4.000000, students, 0.264583,0.000000, 0.272917, 0.000000, 0.439583, 0.000000, 10.000000, 0.439583, 0.000000
5.000000, students, 0.264583,0.000000, 0.352083, 0.000000, 0.439583, 0.000000, 10.000000, 0.439583, 0.000000
